,fsq_id,station_num,distance,name,location_address,categorized,closed_bucket
293,5a1fedbcbcbf7a12b589f1f9,30,426,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
294,4b071106f964a52093f622e3,30,314,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
295,4b64a08bf964a52082c32ae3,30,368,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
296,5a37b9bd16fa04126cd4ccd7,30,100,Oh Donuts & Coffee,55 Upper Arthur St,Restaurant,VeryLikelyOpen
297,4b03d73ff964a520535022e3,30,181,Victoria Square Shopping Centre,1 Victoria Sq,Mall,VeryLikelyOpen
298,4bd352d741b9ef3b0fe3ffe5,30,280,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
299,4bb3c394715eef3b6bce86bb,30,72,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
300,50831bd2e4b0211346dea00d,31,480,The York,86 York Rd,Restaurant,VeryLikelyOpen
301,4c06a9388a81c9b659122690,31,1268,Waterworks,Antrim Rd,Park,VeryLikelyOpen
302,4e6d2278483bff3f0789b732,31,365,C View Palace,78-82 Shore Rd,Restaurant,VeryLikelyOpen
303,58247a6c2a4e2b5cc8bdc25a,31,38,Grove Library,Missing data,Library,VeryLikelyOpen
304,5a8ebe53a9fe123e9ff58e3b,31,821,McDonald's,233 Shore Rd,Restaurant,VeryLikelyOpen
305,51226bbde4b027b3b318bba3,31,135,Beatties Traditional Fish and Chips,Cavehill Rd,Restaurant,VeryLikelyOpen
306,4c17334674fb20a185425112,31,175,Bassil's,11-35 Shore Rd,Restaurant,VeryLikelyOpen
307,4d876a77651041bd18229b30,31,560,Subway,Antrium Rd,Restaurant,VeryLikelyOpen
308,649f3c926dc7001835b736c0,31,493,Oregano,Missing data,Restaurant,VeryLikelyOpen
309,4fe78ba5e4b050dddefcb8c7,31,472,Lucky Dragon,94 York Rd,Restaurant,VeryLikelyOpen
310,5a7350051ffe97255f8c5c06,32,353,Barnes Chip Shop,28 Islandbawn St,Restaurant,LikelyOpen
311,4e75bee3c65bb91db47f5af1,32,229,The Rock Bar,491-493 Falls Rd,Bar,VeryLikelyOpen
312,b1b81d62f2b44c9163d5505d,32,23,West Belfast Sports & Social Club,370 Falls Rd,Bar,VeryLikelyOpen
313,0a5f123514884a70043c49ad,32,378,The Bayleaf Restaurant,"Park Centre, Donegall Rd",Restaurant,LikelyOpen
314,4f9934d7e4b0a7aa85279144,32,405,Bayleaf Restaurant Park Centre,Missing data,Restaurant,VeryLikelyOpen
315,4ba25ff3f964a5209bf237e3,32,523,KFC,428-444 Donegall Rd,Restaurant,VeryLikelyOpen
316,c05f066731c449134d7b98e9,32,57,Rocco's Pizza & Treats,447 Falls Rd,Restaurant,VeryLikelyOpen
317,4e47ebc452b1bac0d989dee1,32,31,The west club,Missing data,Bar,VeryLikelyOpen
318,4d876a78651041bd3b239b30,32,934,Subway,121 Falls Rd,Restaurant,VeryLikelyOpen
319,ec3013f3b6c143ce353f3df2,32,367,Kangaroos Tie Their Own Laces,430 Falls Rd,Coffee Shop,LikelyOpen
320,520080a3498eb97026f147b8,33,305,Established Coffee,54 Hill St,Coffee Shop,Unsure
321,4b071106f964a52093f622e3,33,391,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
322,4b64a08bf964a52082c32ae3,33,196,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
323,4bd352d741b9ef3b0fe3ffe5,33,227,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
324,50ca5592e4b0cc5bad7c6449,33,213,The Sunflower,65 Union St,Bar,Unsure
325,5a1fedbcbcbf7a12b589f1f9,33,304,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
326,4bb897143db7b7135e65219a,33,327,The Spaniard,3 Skipper St,Bar,LikelyOpen
327,4e332e7e227111ae768bb67b,33,45,The Deer’s Head,1-3 Lower Garfield St,Restaurant,Unsure
328,52988e8511d22448bd236206,33,327,The Dirty Onion,3 Hill St,Bar,Unsure
329,4c1669aea5eb76b040ccc4b7,33,190,The John Hewitt,51 Donegall St,Restaurant,VeryLikelyOpen
