,Station_No,Business_ID,Business_Name,Category,Review_Count,Rating,Phone_No,Address,Distance,Business_Hours
227,12,0_FiIIeaKan-Ngv3TOUOjA,Papa Joe's  Restaurants,"[{'alias': 'pizza', 'title': 'Pizza'}]",0,0.0,+442890717675,92 Alliance Avenue,1290.9971306711802,[]
228,12,gZLkLkDZZvJI6kvtZiT7pQ,Spar,"[{'alias': 'grocery', 'title': 'Grocery'}]",0,0.0,+442890392574,92-94 Alliance Avenue,1290.9971306711802,[]
229,12,IkfRa2b4fVOZUJPaNSLiqQ,Woodvale Park,"[{'alias': 'parks', 'title': 'Parks'}]",1,4.0,+447771987652,Woodvale Road,625.0085912718542,[]
230,12,Cg2v5bkDy-kBfmzEIoufcA,Turkish Kebab & Pizza House,"[{'alias': 'turkish', 'title': 'Turkish'}]",0,0.0,+442890808989,34 Woodvale Road,817.0842522424475,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
231,12,HbdHSfSS4JgaKdT1X1_g8A,Christines Fruit Shop,"[{'alias': 'markets', 'title': 'Fruits & Veggies'}]",0,0.0,+442890752060,5 Woodvale Road,811.3845691920984,[]
232,12,drvi_sos8mTivJa9rbDa2Q,Stevies Fruit Shop,"[{'alias': 'markets', 'title': 'Fruits & Veggies'}]",0,0.0,+442890242006,32 Woodvale Road,834.5018475171066,[]
233,12,EVWIVlsyUn9vfUCOZZGNtQ,Hugh Linton,"[{'alias': 'meats', 'title': 'Meat Shops'}]",0,0.0,+442890743161,71 Woodvale Road,653.8685801693626,[]
234,12,oeEixe-bWQePndsty8atJQ,Sammy's,"[{'alias': 'meats', 'title': 'Meat Shops'}]",0,0.0,+442890324478,30 Woodvale Road,840.001832860545,[]
235,12,IW7zwxHO1Y6pS7tmLVXvUg,O'Hara's Bakeries,"[{'alias': 'bakeries', 'title': 'Bakeries'}]",0,0.0,+442890358811,182-188 Cambrai Street,976.1322325030053,[]
236,12,qk8JNay3RhEVWJJmVzontg,Mcaufields Butchers,"[{'alias': 'meats', 'title': 'Meat Shops'}]",0,0.0,+442890391977,15 Ardoyne Road,718.9877389829524,[]
237,12,nWIcKI7WwlYypBv60CyU5g,Parkside,"[{'alias': 'convenience', 'title': 'Convenience Stores'}]",0,0.0,+442890744711,Woodvale Road,613.9275395938419,[]
238,12,tMVK-mz7tQKukJtYpI18wA,Pittsburgh Bar,"[{'alias': 'tradamerican', 'title': 'American'}]",0,0.0,+442890756000,333 Crumlin Road,962.6717286289689,[]
239,12,3dsOhtLFkt_M2EpZJ-QkvQ,Mountainview Tavern,"[{'alias': 'pubs', 'title': 'Pubs'}]",0,0.0,+442890752506,Shankill Road,944.3687060676019,[]
240,13,6y2ELSCN3G7qBz_qE9UwnA,Shu,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'british', 'title': 'British'}]",19,4.3,+442890381655,253 Lisburn Road,1162.839563154998,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 0}, {'is_overnight': False, 'start': '1800', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 1}, {'is_overnight': False, 'start': '1800', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 2}, {'is_overnight': False, 'start': '1800', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 3}, {'is_overnight': False, 'start': '1800', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 4}, {'is_overnight': False, 'start': '1800', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1430', 'day': 5}, {'is_overnight': False, 'start': '1800', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]"
241,13,3eflPmlxT85_RT8gPTlpng,RISE,"[{'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'culturalcenter', 'title': 'Cultural Center'}]",7,3.9,,Broadway Roundabout,34.106908871013914,[]
